user_read
user_update
user_delete
user_create
create_journalist
group_read
group_update
group_delete
group_create
permission_read
permission_update
permission_delete
permission_create
users_group_read
users_group_update
users_group_delete
users_group_create
groups_permission_permission_read
groups_permission_permission_update
groups_permission_permission_delete
groups_permission_permission_create
topic_read
topic_update
topic_delete
topic_create
journalist_topic_read
journalist_topic_update
journalist_topic_delete
journalist_topic_create
category_read
category_update
category_delete
category_create
country_read
country_update
country_delete
country_create
tag_read
tag_update
tag_delete
tag_create
comment_read
comment_update
comment_delete
comment_create
language_read
language_update
language_delete
language_create
notification_types_read
notification_types_update
notification_types_delete
notification_types_create
notification_read
notification_update
notification_delete
notification_create
dashboard_read
activitylog_read
usersalary_read
usersalary_update
usersalary_delete
usersalary_create
accounting_read
accounting_update
accounting_delete
accounting_create
analytics_read
activitylog_stat
